point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9,point 10,point 11,point 12,point 13,point 14,point 15,point 16,point 17,point 18,point 19,point 20,bookname
5.398538012,5.362163743,5.374532164,5.362426901,5.36371345,5.422134503,5.445146199,5.427192982,5.423216374,5.401695906,5.391929825,5.422660819,5.405760234,5.402923977,5.366900585,5.343567251,5.340847953,5.313947368,5.344210526,1.125701754,Three men in a boat (to say nothing of the dog) by jerome k. jerome   free ebook
5.382277121,5.341675618,5.320551378,5.319190834,5.30905836,5.330970283,5.384604368,5.396670247,5.402506266,5.430039384,5.417722879,5.379018976,5.377694236,5.408127462,5.421088435,5.404726101,5.431614751,5.384174723,5.340673111,0.605871822,"The mantle, and other stories by nikolai vasilevich gogol   free ebook"
5.78239367,5.77808809,5.746494443,5.694245651,5.678361552,5.624832722,5.554372491,5.566300111,5.556001629,5.542328504,5.555710712,5.579507767,5.659568278,5.681619829,5.658579159,5.618316169,5.613603305,5.565078257,5.535346483,1.616221563,Nursing as caring: a model for transforming practice by boykin and schoenhofer   free ebook
5.539855072,5.58423913,5.534957627,5.485875706,5.479949644,5.457227954,5.398873127,5.315340211,5.353844264,5.466516212,5.393284819,5.339151928,5.448983665,5.476449275,5.496806681,5.50036846,5.452806436,5.46502702,5.531073446,0.188375092,The portrait of a lady ‰ÛÓ volume 1 by henry james   free ebook
5.385288488,5.345462713,5.375112309,5.465438103,5.380600805,5.421676628,5.29546076,5.328469862,5.421315286,5.361381304,5.368744873,5.324582992,5.280675026,5.355687722,5.432009063,5.419352318,5.314914645,5.300470722,5.294142349,0.348099535,This country of ours by h. e. marshall   free ebook
5.349392265,5.358425414,5.364281768,5.416104972,5.5,5.512458564,5.482707182,5.429917127,5.359143646,5.329392265,5.345662983,5.381436464,5.413066298,5.411823204,5.457983425,5.480138122,5.472265193,5.514364641,5.460082873,0.539779006,Essays of schopenhauer by arthur schopenhauer   free ebook
5.514100476,5.530175764,5.483610659,5.523266584,5.547656308,5.54731564,5.522212641,5.48891231,5.534604452,5.549114795,5.540193542,5.537595946,5.503071338,5.512578114,5.559750035,5.550562635,5.516485154,5.523915983,5.563923222,0.292442486,Self help; with illustrations of conduct and perseverance by samuel smiles   free ebook
5.338005712,5.319050452,5.318193717,5.352820086,5.395240362,5.401951452,5.386208948,5.442586863,5.492039505,5.425428367,5.424143265,5.477141837,5.487256069,5.430247501,5.376653974,5.370692527,5.40184436,5.415897192,5.438398382,0.085566397,The complete poetical works of edgar allan poe by edgar allan poe   free ebook
5.342930615,5.382421821,5.416035267,5.445240391,5.456169353,5.456353033,5.478119116,5.510446802,5.527712724,5.556917849,5.553887129,5.533269045,5.530743445,5.56297929,5.581347293,5.550902328,5.536070166,5.494925839,5.468843275,1.184093309,Kwaidan: stories and studies of strange things by lafcadio hearn   free ebook
5.309100184,5.298816568,5.342419914,5.399612324,5.407488268,5.401856764,5.367496429,5.317629055,5.263231993,5.333197307,5.423036115,5.533544175,5.49877576,5.414894919,5.330034687,5.328483983,5.366455825,5.399020608,5.382411753,0.372536217,A portrait of the artist as a young man by james joyce   free ebook
5.358744082,5.347396268,5.320314676,5.314397104,5.295530493,5.295460874,5.330200501,5.331105542,5.359231412,5.387983849,5.434001671,5.451754386,5.442495127,5.460595934,5.437552214,5.423558897,5.409704818,5.395920356,5.409495962,1.537037037,East of the sun and west of the moon: old tales from the north by asbjÌürnsen et al.   free ebook
5.325405646,5.305445655,5.282062681,5.305312292,5.334607691,5.334563236,5.329673261,5.351678151,5.367592798,5.366348077,5.354612136,5.293976439,5.20689042,5.15567904,5.128472994,5.112825072,5.094065348,5.089130918,5.103267393,0.840764614,The island of doctor moreau by h. g. wells   free ebook
5.615269986,5.582310659,5.590550491,5.627805049,5.621230715,5.583011921,5.606504208,5.624912342,5.647615708,5.687587658,5.694337307,5.661202665,5.664183029,5.716690042,5.72545582,5.700210379,5.688376578,5.711167602,5.725631136,2.95056101,Stories from hans andersen by h. c. andersen   free ebook
5.528201572,5.507397134,5.512713823,5.485899214,5.481738326,5.45122515,5.449607027,5.453305594,5.450531669,5.434119279,5.433425798,5.41308368,5.427877947,5.430651872,5.442209894,5.434350439,5.412390199,5.39112344,5.409153953,1.553398058,Political ideals by bertrand russell   free ebook
5.376670081,5.362649368,5.357937863,5.393831797,5.447638557,5.444338227,5.407420052,5.398247411,5.384454307,5.400364174,5.386002048,5.388915443,5.450051212,5.415386366,5.393877319,5.456492546,5.409036076,5.414134517,5.448753841,0.757596449,Beyond good and evil by friedrich wilhelm nietzsche   free ebook
5.322544002,5.267326474,5.270264271,5.295189847,5.350185408,5.385425915,5.362014937,5.319906513,5.294563117,5.266268867,5.308272836,5.323967201,5.327910378,5.34553716,5.402647934,5.405664073,5.410625685,5.425549694,5.435224839,0.62529378,Slave narratives: a folk history of slavery in the united states from interviews   free ebook
5.533638649,5.483010057,5.449892241,5.420941092,5.343301006,5.31643319,5.442834052,5.55237069,5.514906609,5.433943966,5.355836925,5.417762213,5.480262213,5.495258621,5.498042385,5.428286638,5.46091954,5.536368534,5.535739943,0.20777658,The blue fairy book by andrew lang   free ebook
5.426111286,5.408850883,5.398565574,5.387216267,5.351828499,5.312263556,5.306904161,5.305327869,5.301505359,5.323297604,5.345602144,5.355138714,5.338351198,5.361246847,5.391945145,5.410151324,5.405343632,5.38028058,5.376536885,1.449992119,An enemy of the people by henrik ibsen   free ebook
5.304055184,5.296227007,5.420798495,5.377236622,5.389255853,5.36499791,5.409876672,5.45666806,5.495819398,5.368990385,5.403375836,5.345714883,5.299519231,5.308444816,5.308476171,5.24840092,5.344408445,5.343488712,5.374529682,0.376881271,"The pioneers; or, the sources of the susquehanna by james fenimore cooper   free ebook"
